#,대표메뉴,가격,음식점,링크
1,매콤갈비," 5,500 ",홍대 함바그,"https://map.naver.com/v5/search/%ED%99%8D%EB%8C%80%20%ED%95%A8%EB%B0%94%EA%B7%B8/place/38276665?c=14315848.0317022,4286115.5921202,15,0,0,0,dh&placePath=%3Fentry%253Dpll%2526"
2,목살스테이크 양념 / 크림 / 카레오뎅," 5,500 ",대우오뎅,"https://map.naver.com/v5/search/%EB%8C%80%EC%9A%B0%EC%98%A4%EB%8E%85/place/1694235929?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14312575.5714288,4286158.5879486,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
3,족발정식," 6,800 ",신서울족발보쌈,"https://map.naver.com/v5/entry/place/13102698?c=14316495.5972060,4285768.0656968,13,0,0,0,dh&placePath=%2Fhome%3Fentry=plt"
4,보쌈정식," 6,800 ",신서울족발보쌈,"https://map.naver.com/v5/entry/place/13102698?c=14316495.5972060,4285768.0656968,13,0,0,0,dh&placePath=%2Fhome%3Fentry=plt"
5,통목살김치찜," 7,900 ",김치앤포크,"https://map.naver.com/v5/entry/place/1086456474?c=14316777.7253234,4286031.5122637,15,0,0,0,dh&placePath=%3Fentry=plt"
6,육회비빔밥," 6,900 ",김치앤포크,"https://map.naver.com/v5/entry/place/1086456474?c=14316777.7253234,4286031.5122637,15,0,0,0,dh&placePath=%3Fentry=plt"
7,쉬림프로제파스타," 8,500 ",미들31,"https://map.naver.com/v5/search/%EB%AF%B8%EB%93%A431/place/1156772451?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313062.8574841,4286445.2268046,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
8,차돌덮밥," 7,500 ",미들31,"https://map.naver.com/v5/search/%EB%AF%B8%EB%93%A431/place/1156772451?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313062.8574841,4286445.2268046,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
9,앤쵸비 갈릭 올리브 오일 파스타," 7,900 ",벨로,"https://map.naver.com/v5/search/%EB%B2%A8%EB%A1%9C/place/749007290?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313043.7482270,4286445.2268046,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
10,할라피뇨 베이컨 파스타," 7,900 ",벨로,"https://map.naver.com/v5/search/%EB%B2%A8%EB%A1%9C/place/749007290?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313043.7482270,4286445.2268046,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
11,빨간짬뽕," 5,500 ",면탐정,"https://map.naver.com/v5/entry/place/19525616?c=14309017.6666278,4290632.5427604,15,0,0,0,dh&placePath=%3Fentry=plt"
12,핑크짬뽕," 6,500 ",면탐정,"https://map.naver.com/v5/entry/place/19525616?c=14309017.6666278,4290632.5427604,15,0,0,0,dh&placePath=%3Fentry=plt"
13,새우베이컨로제파스타," 8,500 ",앞치마 입는 남자,"https://map.naver.com/v5/entry/place/1745206355?c=14316733.208659079,4286197.839210879,15,0,0,0,dh&placePath=%3Fentry=plt"
14,떠먹는피자," 8,500 ",팰럿,"https://map.naver.com/v5/entry/place/32323458?p=uEP4mCi-qFQLYR9wC2CDUQ,1.59,10,Float&c=14308779.5594976,4280144.0164227,15,0,0,0,dh"
15,엄마손 함박," 8,500 ",팰럿,"https://map.naver.com/v5/entry/place/32323458?p=uEP4mCi-qFQLYR9wC2CDUQ,1.59,10,Float&c=14308779.5594976,4280144.0164227,15,0,0,0,dh"
16,꾸지뽕 잔치국수," 4,000 ",백운면,"https://map.naver.com/v5/entry/address/14316661.941921081,4286055.0375333745,%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EB%B6%81%EA%B5%AC%20%EC%82%B0%EA%B2%A9%EB%8F%99%201314-5,jibun?c=14316629.3722924,4286056.6407400,19,0,0,0,dh"
17,연어초밥," 12,000 ",마사,"https://map.naver.com/v5/search/%EB%A7%88%EC%82%AC/place/1560634149?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14316488.70652951,4285831.9480176605,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
18,치킨반미," 6,500 ",반미리코,"https://map.naver.com/v5/search/%EB%B0%98%EB%AF%B8%EB%A6%AC%EC%BD%94/place/35652568?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313110.6306268,4286473.8906902,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
19,크림찜닭," 22,000 ",봉대박찜닭,"https://map.naver.com/v5/search/%EB%B4%89%EB%8C%80%EB%B0%95%EC%B0%9C%EB%8B%AD/place/36670950?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14316803.184090998,4286111.872156594,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
20,프리마베라 피자," 18,500 ",메타피자,"https://map.naver.com/v5/entry/place/37452727?c=14316870.799549703,4286051.973199211,15,0,0,0,dh&placePath=%3Fentry=plt"
21,도토리 돈까스," 9,800 ",도토리1,"https://map.naver.com/v5/search/%EB%8F%84%ED%86%A0%EB%A6%AC1/place/33876221?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14312976.8658273,4286349.6805193,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
22,김치찌개," 6,500 ",고니식탁,"https://map.naver.com/v5/search/%EA%B3%A0%EB%8B%88%EC%8B%9D%ED%83%81/place/37107669?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14316623.024627093,4285852.381095583,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
23,돼지찌개," 6,500 ",고니식탁,"https://map.naver.com/v5/search/%EA%B3%A0%EB%8B%88%EC%8B%9D%ED%83%81/place/37107669?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14316623.024627093,4285852.381095583,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
24,유자두루치기," 6,500 ",고니식탁,"https://map.naver.com/v5/search/%EA%B3%A0%EB%8B%88%EC%8B%9D%ED%83%81/place/37107669?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14316623.024627093,4285852.381095583,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
25,매운갈비찜," 8,000 ",한끼갈비,"https://map.naver.com/v5/entry/place/1005147546?c=14316644.275517885,4285901.821882717,15,0,0,0,dh&placePath=%3Fentry=plt"
26,규동," 6,900 ",밥하는남자,"https://map.naver.com/v5/search/%EB%B0%A5%ED%95%98%EB%8A%94%EB%82%A8%EC%9E%90/place/21817904?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14312948.2019417,4286321.0166337,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
27,무르그마커니," 12,000 ",뉴살라딘,"https://map.naver.com/v5/entry/place/33213786?c=14316199.1643009,4285926.8882066,15,0,0,0,dh"
28,산채비빔밥," 7,000 ",유림식당,"https://map.naver.com/v5/entry/place/10972665?c=14316252.909584109,4285696.42010707,15,0,0,0,dh&placePath=%3Fentry=plt"
29,감자탕 小," 19,000 ",또바기 감자탕,"https://map.naver.com/v5/entry/place/16137058?c=14317173.744411949,4286310.383424198,15,0,0,0,dh&placePath=%3Fentry=plt"
30,경양식돈가스," 6,000 ",은화수식당,"https://map.naver.com/v5/search/%EC%9D%80%ED%99%94%EC%88%98%EC%8B%9D%EB%8B%B9/place/36220359?c=14312924.3153703,4286387.8990334,13,0,0,0,dh&placePath=%3Fentry%253Dpll%2526"
31,쇼유돈코츠라멘," 6,500 ",잇토사이야,"https://map.naver.com/v5/search/%EC%9E%87%ED%86%A0%EC%82%AC%EC%9D%B4%EC%95%BC/place/1235137669?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313005.5297129,4286378.3444049,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
32,샤워텐동," 9,000 ",나이스샤워,"https://map.naver.com/v5/entry/place/1044112634?c=14141242.084186327,4508696.332947429,15,0,0,0,dh&placePath=%3Fentry=plt"
33,빨간도리밥," 3,800 ",도리집,"https://map.naver.com/v5/search/%EB%8F%84%EB%A6%AC%EC%A7%91/place/1440877435?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14312995.9750843,4286387.8990334,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
34,생연어덮밥," 9,500 ",소를품은연어,"https://map.naver.com/v5/entry/place/1184386500?c=14303915.63758627,4280936.631535094,15,0,0,0,dh&placePath=%3Fentry=plt"
