#,대표메뉴,가격,음식점,링크
1,아메리카노," 1,500 ",카페 키아누,http://naver.me/xzT4sj5p
2,싸이버거," 3,800 ",맘스터치 대구 대현점,http://naver.me/FWm2o9Yl
3,뼈해장국," 8,000 ",통큰할매순대국 대현점,http://naver.me/FX3M7jap
4,JMT마라탕," 15,000 ",라쿵푸마라탕 경대점,http://naver.me/xbtiqJM3
5,아메리카노(HOT)," 2,000 ",하바나익스프레스 경대남문점,http://naver.me/57pGdb0m
6,생연어초밥," 12,000 ",초밥집,http://naver.me/FEt5qMdW
7,치킨마요," 4,900 ",행컵 경북대대현점,http://naver.me/FX3M7saH
8,차돌박이짬뽕," 7,900 ",짱마담,http://naver.me/FBE7sj2T
9,광주식 짬짜면," 25,000 ",북경반점,http://naver.me/xGnNGBtp
10,위치스브런치," 5,500 ",위치스케틀,http://naver.me/FaVDdK2f
11,돼지국밥," 7,000 ",성화식당,http://naver.me/FY7kO9u0
12,마라탕," 10,000 ",저스트 마라관 경대정문점,http://naver.me/GjW5jEIz
13,후라이드 양념 세트," 18,000 ",미쳐버린파닭 경북대점,http://naver.me/GslvRkkK
14,차돌양지 쌀국수," 7,000 ",호랑이 쌀국수,http://naver.me/xc7ej3gJ
15,뼈다귀해장국," 6,000 ",큰손 왕뼈다귀 해장국,http://naver.me/xc7ej3gJ
16,소세지오므라이스," 7,000 ",모이다식탁 경북대점,http://naver.me/5h7BXvie
17,아메리카노," 2,500 ",커피해비치,http://naver.me/I5j2MMbv
18,마라짬뽕," 9,000 ",감래등,http://naver.me/5DhMYYsn
19,실타래 빙수," 7,900 ",카페 콘크리트,http://naver.me/5RrHVjDu
20,바질 레드 페퍼로니 피자," 14,900 ",유로코피자 대구 경북대점,http://naver.me/xkjOEUk4
