#,대표메뉴,가격,음식점,링크
1,부대찌개," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
2,해물순두부," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
3,참치찌개," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
4,김치찌개," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
5,우렁된장," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
6,뚝배기만두국," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
7,육개장," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
8,삽겹구이," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
9,불고기백반," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
10,제육볶음," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
11,오징어두루," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
12,참치덮밥," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
13,알밥," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
14,돌솥비빔밥," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
15,비빔밥," 5,500 ",찬누리식당,"https://map.naver.com/v5/search/%EC%B0%AC%EB%88%84%EB%A6%AC%EC%8B%9D%EB%8B%B9/place/38361017?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313559.6981679,4286149.0333200,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
16,볶음짜장," 5,000 ",황금성,"https://map.naver.com/v5/search/%ED%99%A9%EA%B8%88%EC%84%B1/place/21451480?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14313597.9166821,4286101.2601774,13,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
17,생돼지양념구이 (4인분)," 17,000 ",양기생돼지양념구이,"https://map.naver.com/v5/entry/place/38365736?c=14317109.2426689,4286261.3002053,15,0,0,0,dh"
18,생삼겹양념구이 (2인분)," 14,000 ",양기생돼지양념구이,"https://map.naver.com/v5/entry/place/38365736?c=14317109.2426689,4286261.3002053,15,0,0,0,dh"
