#,대표메뉴,가격,음식점,링크
1,숯불양념구이," 18,000 ",이거 숯불양념치킨 산격점,http://naver.me/GMFTJ71x
2,소고기버섯전골(大)," 30,000 ",언덕아래집식당,http://naver.me/5qtYdiVr
3,웃찌라떼," 4,500 ",Woodzy coffee,http://naver.me/FlY8H64C
4,족발 소," 26,000 ",족발팩토리,http://naver.me/GMFTJE6G
5,육회비빔밥," 8,500 ",맛있는집,http://naver.me/GWKRB7JM
6,아메리카노," 1,900 ",워킹커피,http://naver.me/FSK0YNrK
7,제육고추장 정식," 6,500 ",공간식당,http://naver.me/GRvIsvNm
8,비빔밥," 2,500 ",자매분식,http://naver.me/5uOD7xiJ
9,코끼리피자," 19,900 ",엘리펀트피자 본점,http://naver.me/5DhMGHIp
10,족발(싱글)," 21,000 ",하루족발보쌈 경대점,http://naver.me/xJnRmLHU
11,김치햄제육볶음," 6,000 ",친절한해숙씨,http://naver.me/GOxg82r2
12,양념갈비세트," 20,000 ",고기한마당,http://naver.me/GYpBXuAa
